Gene name	category
frr	reference
NusA	reference
IF-2	reference
tsf	reference
trmD	reference
rpsB	reference
rpsE	reference
rpoA	reference
L6	reference
TIGR00006	reference
recR	reference
rpsC	reference
pheS	reference
3a0501s007	reference
rplD	reference
infC	reference
L3	reference
ruvB	reference
rplB	reference
prfA	reference
TIGR00092	reference
rpsD	reference
leuS	reference
alaS	reference
lepA	reference
phzA	phenazines
phzB	phenazines
phzD	phenazines
phzE	phenazines
phzF	phenazines
phzG	phenazines
phdA	degradation
podA	degradation
pcaA1	degradation
pcaA2	degradation
pcaA3	degradation
pcaA4	degradation
