phzA	13	0.471	27.600849256900215
phzB	1	0.489	2.044989775051125
phzD	7	0.624	11.217948717948717
phzE	49	1.914	25.600835945663533
phzF	19	0.837	22.700119474313023
phzG	6	0.6675	8.98876404494382
phdA	1	1.44	0.6944444444444444
podA	0	0	0
pcaA1	0	0	0
pcaA2	0	0	0
pcaA3	0	0	0
pcaA4	0	0	0
frr	961	0.528	1820.0757575757575
NusA	2044	1.014	2015.7790927021697
IF-2	3649	1.746	2089.9198167239406
tsf	1309	0.858	1525.6410256410256
trmD	1250	0.672	1860.1190476190475
rpsB	1395	0.669	2085.201793721973
rpsE	986	0.465	2120.430107526882
rpoA	1860	0.879	2116.0409556313994
L6	987	0.528	1869.3181818181818
TIGR00006	1463	0.903	1620.15503875969
recR	1094	0.582	1879.725085910653
rpsC	1335	0.627	2129.186602870813
pheS	1629	0.867	1878.892733564014
3a0501s007	2287	1.209	1891.6459884201818
rplD	1004	0.561	1789.6613190730836
infC	922	0.477	1932.9140461215934
L3	1145	0.609	1880.1313628899836
ruvB	1939	0.912	2126.09649122807
rplB	1827	0.813	2247.2324723247234
prfA	2212	1.053	2100.664767331434
TIGR00092	2085	1.089	1914.6005509641873
rpsD	1210	0.6	2016.6666666666667
leuS	4442	2.469	1799.1089509923047
alaS	4225	2.496	1692.7083333333333
lepA	3659	1.782	2053.31088664422
